,Number of data used,Random_Seed,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
0,random,1337,0,1,[146.1499068352464],146.1499068352464,146.1499068352464,
1,random,1337,1,2,[133.96956615053998],133.96956615053998,146.1499068352464,
2,random,1337,2,3,[151.04621599946466],151.04621599946466,151.04621599946466,
3,random,1337,3,4,[143.56320631279337],143.56320631279337,151.04621599946466,
4,random,1337,4,5,[120.2816580285045],120.2816580285045,151.04621599946466,
5,random,1337,5,6,[146.76694916719543],146.76694916719543,151.04621599946466,
6,random,1337,6,7,[135.00685581032218],135.00685581032218,151.04621599946466,
7,random,1337,7,8,[139.8889943859047],139.8889943859047,151.04621599946466,
8,random,1337,8,9,[141.99720450911195],141.99720450911195,151.04621599946466,
9,random,1337,9,10,[122.9576937349564],122.9576937349564,151.04621599946466,
10,random,1337,10,11,[141.5965383612692],141.5965383612692,151.04621599946466,
11,random,1337,11,12,[139.77718748970685],139.77718748970685,151.04621599946466,
12,random,1337,12,13,[164.95783085754786],164.95783085754786,164.95783085754786,
13,random,1337,13,14,[142.7204626430639],142.7204626430639,164.95783085754786,
14,random,1337,14,15,[125.55785596126495],125.55785596126495,164.95783085754786,
15,random,1337,15,16,[162.45242842752012],162.45242842752012,164.95783085754786,
16,random,1337,16,17,[109.58044587207594],109.58044587207594,164.95783085754786,
17,random,1337,17,18,[157.3709982220219],157.3709982220219,164.95783085754786,
18,random,1337,18,19,[115.70130494335822],115.70130494335822,164.95783085754786,
19,random,1337,19,20,[143.1990010858288],143.1990010858288,164.95783085754786,
20,random,1337,20,21,[164.58001172560898],164.58001172560898,164.95783085754786,
21,random,1337,21,22,[123.93811332092741],123.93811332092741,164.95783085754786,
22,random,1337,22,23,[156.19085691648428],156.19085691648428,164.95783085754786,
23,random,1337,23,24,[139.78164266941704],139.78164266941704,164.95783085754786,
24,random,1337,24,25,[149.57831360708983],149.57831360708983,164.95783085754786,
25,random,1337,25,26,[141.23533652070077],141.23533652070077,164.95783085754786,
26,random,1337,26,27,[162.45475186999536],162.45475186999536,164.95783085754786,
27,random,1337,27,28,[127.73307155344753],127.73307155344753,164.95783085754786,
28,random,1337,28,29,[142.20137342601748],142.20137342601748,164.95783085754786,
29,random,1337,29,30,[134.14889825638772],134.14889825638772,164.95783085754786,
30,random,1338,0,1,[142.20137342601748],142.20137342601748,142.20137342601748,
31,random,1338,1,2,[121.92929330241844],121.92929330241844,142.20137342601748,
32,random,1338,2,3,[142.7204626430639],142.7204626430639,142.7204626430639,
33,random,1338,3,4,[135.00685581032218],135.00685581032218,142.7204626430639,
34,random,1338,4,5,[115.70130494335822],115.70130494335822,142.7204626430639,
35,random,1338,5,6,[83.16394518020323],83.16394518020323,142.7204626430639,
36,random,1338,6,7,[133.96956615053998],133.96956615053998,142.7204626430639,
37,random,1338,7,8,[162.45475186999536],162.45475186999536,162.45475186999536,
38,random,1338,8,9,[139.34604170468722],139.34604170468722,162.45475186999536,
39,random,1338,9,10,[151.04621599946466],151.04621599946466,162.45475186999536,
40,random,1338,10,11,[124.33296115997209],124.33296115997209,162.45475186999536,
41,random,1338,11,12,[156.29592045921626],156.29592045921626,162.45475186999536,
42,random,1338,12,13,[147.0022769034152],147.0022769034152,162.45475186999536,
43,random,1338,13,14,[119.10061804970184],119.10061804970184,162.45475186999536,
44,random,1338,14,15,[158.10035989792027],158.10035989792027,162.45475186999536,
45,random,1338,15,16,[146.76694916719543],146.76694916719543,162.45475186999536,
46,random,1338,16,17,[153.7627062240318],153.7627062240318,162.45475186999536,
47,random,1338,17,18,[143.56320631279337],143.56320631279337,162.45475186999536,
48,random,1338,18,19,[122.3984434787847],122.3984434787847,162.45475186999536,
49,random,1338,19,20,[153.81739983748278],153.81739983748278,162.45475186999536,
50,random,1338,20,21,[138.36535852769708],138.36535852769708,162.45475186999536,
51,random,1338,21,22,[166.22193370353094],166.22193370353094,166.22193370353094,
52,random,1338,22,23,[138.79238862868013],138.79238862868013,166.22193370353094,
53,random,1338,23,24,[164.95783085754786],164.95783085754786,166.22193370353094,
54,random,1338,24,25,[125.55785596126495],125.55785596126495,166.22193370353094,
55,random,1338,25,26,[122.9576937349564],122.9576937349564,166.22193370353094,
56,random,1338,26,27,[138.6573753120435],138.6573753120435,166.22193370353094,
57,random,1338,27,28,[141.5965383612692],141.5965383612692,166.22193370353094,
58,random,1338,28,29,[162.45242842752012],162.45242842752012,166.22193370353094,
59,random,1338,29,30,[139.77718748970685],139.77718748970685,166.22193370353094,
60,random,1339,0,1,[138.6573753120435],138.6573753120435,138.6573753120435,
61,random,1339,1,2,[139.78164266941704],139.78164266941704,139.78164266941704,
62,random,1339,2,3,[157.3709982220219],157.3709982220219,157.3709982220219,
63,random,1339,3,4,[125.55785596126495],125.55785596126495,157.3709982220219,
64,random,1339,4,5,[140.38367430411714],140.38367430411714,157.3709982220219,
65,random,1339,5,6,[134.14889825638772],134.14889825638772,157.3709982220219,
66,random,1339,6,7,[123.80899801912258],123.80899801912258,157.3709982220219,
67,random,1339,7,8,[143.1990010858288],143.1990010858288,157.3709982220219,
68,random,1339,8,9,[119.5667350783483],119.5667350783483,157.3709982220219,
69,random,1339,9,10,[123.14024426243438],123.14024426243438,157.3709982220219,
70,random,1339,10,11,[120.14447039437856],120.14447039437856,157.3709982220219,
71,random,1339,11,12,[117.25187832749276],117.25187832749276,157.3709982220219,
72,random,1339,12,13,[150.35400489203658],150.35400489203658,157.3709982220219,
73,random,1339,13,14,[144.37198284311458],144.37198284311458,157.3709982220219,
74,random,1339,14,15,[141.5965383612692],141.5965383612692,157.3709982220219,
75,random,1339,15,16,[143.50927187424523],143.50927187424523,157.3709982220219,
76,random,1339,16,17,[135.00685581032218],135.00685581032218,157.3709982220219,
77,random,1339,17,18,[163.68216005041552],163.68216005041552,163.68216005041552,
78,random,1339,18,19,[172.9382536276803],172.9382536276803,172.9382536276803,
79,random,1339,19,20,[123.93811332092741],123.93811332092741,172.9382536276803,
80,random,1339,20,21,[146.36334018327767],146.36334018327767,172.9382536276803,
81,random,1339,21,22,[145.3396217994108],145.3396217994108,172.9382536276803,
82,random,1339,22,23,[83.16394518020323],83.16394518020323,172.9382536276803,
83,random,1339,23,24,[122.0447716941213],122.0447716941213,172.9382536276803,
84,random,1339,24,25,[135.00266042722274],135.00266042722274,172.9382536276803,
85,random,1339,25,26,[151.04621599946466],151.04621599946466,172.9382536276803,
86,random,1339,26,27,[162.45242842752012],162.45242842752012,172.9382536276803,
87,random,1339,27,28,[122.9576937349564],122.9576937349564,172.9382536276803,
88,random,1339,28,29,[139.77718748970685],139.77718748970685,172.9382536276803,
89,random,1339,29,30,[164.95783085754786],164.95783085754786,172.9382536276803,
90,random,1340,0,1,[135.00685581032218],135.00685581032218,135.00685581032218,
91,random,1340,1,2,[135.58222778383404],135.58222778383404,135.58222778383404,
92,random,1340,2,3,[139.8889943859047],139.8889943859047,139.8889943859047,
93,random,1340,3,4,[124.28508028761419],124.28508028761419,139.8889943859047,
94,random,1340,4,5,[83.16394518020323],83.16394518020323,139.8889943859047,
95,random,1340,5,6,[146.1499068352464],146.1499068352464,146.1499068352464,
96,random,1340,6,7,[146.76694916719543],146.76694916719543,146.76694916719543,
97,random,1340,7,8,[156.29592045921626],156.29592045921626,156.29592045921626,
98,random,1340,8,9,[117.25187832749276],117.25187832749276,156.29592045921626,
99,random,1340,9,10,[115.70130494335822],115.70130494335822,156.29592045921626,
100,random,1340,10,11,[166.22193370353094],166.22193370353094,166.22193370353094,
101,random,1340,11,12,[139.34604170468722],139.34604170468722,166.22193370353094,
102,random,1340,12,13,[120.14447039437856],120.14447039437856,166.22193370353094,
103,random,1340,13,14,[150.35400489203658],150.35400489203658,166.22193370353094,
104,random,1340,14,15,[123.93811332092741],123.93811332092741,166.22193370353094,
105,random,1340,15,16,[163.68216005041552],163.68216005041552,166.22193370353094,
106,random,1340,16,17,[138.36535852769708],138.36535852769708,166.22193370353094,
107,random,1340,17,18,[162.45475186999536],162.45475186999536,166.22193370353094,
108,random,1340,18,19,[147.0022769034152],147.0022769034152,166.22193370353094,
109,random,1340,19,20,[142.37274889861231],142.37274889861231,166.22193370353094,
110,random,1340,20,21,[113.78737139047261],113.78737139047261,166.22193370353094,
111,random,1340,21,22,[147.49402922192442],147.49402922192442,166.22193370353094,
112,random,1340,22,23,[127.64440554317409],127.64440554317409,166.22193370353094,
113,random,1340,23,24,[122.9576937349564],122.9576937349564,166.22193370353094,
114,random,1340,24,25,[149.57831360708983],149.57831360708983,166.22193370353094,
115,random,1340,25,26,[143.75696615970708],143.75696615970708,166.22193370353094,
116,random,1340,26,27,[142.7204626430639],142.7204626430639,166.22193370353094,
117,random,1340,27,28,[117.69744918762859],117.69744918762859,166.22193370353094,
118,random,1340,28,29,[151.04621599946466],151.04621599946466,166.22193370353094,
119,random,1340,29,30,[144.37198284311458],144.37198284311458,166.22193370353094,
120,random,1341,0,1,[123.80899801912258],123.80899801912258,123.80899801912258,
121,random,1341,1,2,[152.22068911320298],152.22068911320298,152.22068911320298,
122,random,1341,2,3,[162.45242842752012],162.45242842752012,162.45242842752012,
123,random,1341,3,4,[140.38367430411714],140.38367430411714,162.45242842752012,
124,random,1341,4,5,[141.5965383612692],141.5965383612692,162.45242842752012,
125,random,1341,5,6,[146.13669614786681],146.13669614786681,162.45242842752012,
126,random,1341,6,7,[162.45475186999536],162.45475186999536,162.45475186999536,
127,random,1341,7,8,[142.7204626430639],142.7204626430639,162.45475186999536,
128,random,1341,8,9,[158.10035989792027],158.10035989792027,162.45475186999536,
129,random,1341,9,10,[120.2816580285045],120.2816580285045,162.45475186999536,
130,random,1341,10,11,[145.3396217994108],145.3396217994108,162.45475186999536,
131,random,1341,11,12,[156.19085691648428],156.19085691648428,162.45475186999536,
132,random,1341,12,13,[144.96028373864337],144.96028373864337,162.45475186999536,
133,random,1341,13,14,[157.2601275502924],157.2601275502924,162.45475186999536,
134,random,1341,14,15,[121.92929330241844],121.92929330241844,162.45475186999536,
135,random,1341,15,16,[147.49402922192442],147.49402922192442,162.45475186999536,
136,random,1341,16,17,[156.29592045921626],156.29592045921626,162.45475186999536,
137,random,1341,17,18,[119.10061804970184],119.10061804970184,162.45475186999536,
138,random,1341,18,19,[143.56320631279337],143.56320631279337,162.45475186999536,
139,random,1341,19,20,[115.70130494335822],115.70130494335822,162.45475186999536,
140,random,1341,20,21,[149.34474941658686],149.34474941658686,162.45475186999536,
141,random,1341,21,22,[142.00747890081215],142.00747890081215,162.45475186999536,
142,random,1341,22,23,[124.28508028761419],124.28508028761419,162.45475186999536,
143,random,1341,23,24,[141.23533652070077],141.23533652070077,162.45475186999536,
144,random,1341,24,25,[143.75696615970708],143.75696615970708,162.45475186999536,
145,random,1341,25,26,[127.64440554317409],127.64440554317409,162.45475186999536,
146,random,1341,26,27,[142.20137342601748],142.20137342601748,162.45475186999536,
147,random,1341,27,28,[124.33296115997209],124.33296115997209,162.45475186999536,
148,random,1341,28,29,[142.37274889861231],142.37274889861231,162.45475186999536,
149,random,1341,29,30,[113.78737139047261],113.78737139047261,162.45475186999536,
150,random,1342,0,1,[150.79684372186182],150.79684372186182,150.79684372186182,
151,random,1342,1,2,[121.70683253959652],121.70683253959652,150.79684372186182,
152,random,1342,2,3,[143.56320631279337],143.56320631279337,150.79684372186182,
153,random,1342,3,4,[150.35400489203658],150.35400489203658,150.79684372186182,
154,random,1342,4,5,[122.9576937349564],122.9576937349564,150.79684372186182,
155,random,1342,5,6,[164.95783085754786],164.95783085754786,164.95783085754786,
156,random,1342,6,7,[166.22193370353094],166.22193370353094,166.22193370353094,
157,random,1342,7,8,[162.45475186999536],162.45475186999536,166.22193370353094,
158,random,1342,8,9,[124.33296115997209],124.33296115997209,166.22193370353094,
159,random,1342,9,10,[149.34474941658686],149.34474941658686,166.22193370353094,
160,random,1342,10,11,[162.45242842752012],162.45242842752012,166.22193370353094,
161,random,1342,11,12,[156.29592045921626],156.29592045921626,166.22193370353094,
162,random,1342,12,13,[135.00685581032218],135.00685581032218,166.22193370353094,
163,random,1342,13,14,[134.92790723134476],134.92790723134476,166.22193370353094,
164,random,1342,14,15,[155.4607999734539],155.4607999734539,166.22193370353094,
165,random,1342,15,16,[137.6825662628294],137.6825662628294,166.22193370353094,
166,random,1342,16,17,[135.00266042722274],135.00266042722274,166.22193370353094,
167,random,1342,17,18,[125.78672619143359],125.78672619143359,166.22193370353094,
168,random,1342,18,19,[122.3984434787847],122.3984434787847,166.22193370353094,
169,random,1342,19,20,[145.3396217994108],145.3396217994108,166.22193370353094,
170,random,1342,20,21,[148.38798148885505],148.38798148885505,166.22193370353094,
171,random,1342,21,22,[135.58222778383404],135.58222778383404,166.22193370353094,
172,random,1342,22,23,[163.68216005041552],163.68216005041552,166.22193370353094,
173,random,1342,23,24,[120.14447039437856],120.14447039437856,166.22193370353094,
174,random,1342,24,25,[156.19085691648428],156.19085691648428,166.22193370353094,
175,random,1342,25,26,[157.3709982220219],157.3709982220219,166.22193370353094,
176,random,1342,26,27,[140.38367430411714],140.38367430411714,166.22193370353094,
177,random,1342,27,28,[152.22068911320298],152.22068911320298,166.22193370353094,
178,random,1342,28,29,[142.7204626430639],142.7204626430639,166.22193370353094,
179,random,1342,29,30,[148.9973261341777],148.9973261341777,166.22193370353094,
180,random,1343,0,1,[125.78672619143359],125.78672619143359,125.78672619143359,
181,random,1343,1,2,[138.6573753120435],138.6573753120435,138.6573753120435,
182,random,1343,2,3,[139.77718748970685],139.77718748970685,139.77718748970685,
183,random,1343,3,4,[144.96028373864337],144.96028373864337,144.96028373864337,
184,random,1343,4,5,[143.75696615970708],143.75696615970708,144.96028373864337,
185,random,1343,5,6,[123.41008727557768],123.41008727557768,144.96028373864337,
186,random,1343,6,7,[139.78164266941704],139.78164266941704,144.96028373864337,
187,random,1343,7,8,[148.72605678839184],148.72605678839184,148.72605678839184,
188,random,1343,8,9,[164.58001172560898],164.58001172560898,164.58001172560898,
189,random,1343,9,10,[142.37274889861231],142.37274889861231,164.58001172560898,
190,random,1343,10,11,[148.38798148885505],148.38798148885505,164.58001172560898,
191,random,1343,11,12,[128.29589493037537],128.29589493037537,164.58001172560898,
192,random,1343,12,13,[163.68216005041552],163.68216005041552,164.58001172560898,
193,random,1343,13,14,[122.0447716941213],122.0447716941213,164.58001172560898,
194,random,1343,14,15,[135.00685581032218],135.00685581032218,164.58001172560898,
195,random,1343,15,16,[162.45475186999536],162.45475186999536,164.58001172560898,
196,random,1343,16,17,[117.69744918762859],117.69744918762859,164.58001172560898,
197,random,1343,17,18,[119.10061804970184],119.10061804970184,164.58001172560898,
198,random,1343,18,19,[147.0022769034152],147.0022769034152,164.58001172560898,
199,random,1343,19,20,[119.5667350783483],119.5667350783483,164.58001172560898,
200,random,1343,20,21,[122.3984434787847],122.3984434787847,164.58001172560898,
201,random,1343,21,22,[121.92929330241844],121.92929330241844,164.58001172560898,
202,random,1343,22,23,[172.9382536276803],172.9382536276803,172.9382536276803,
203,random,1343,23,24,[138.79238862868013],138.79238862868013,172.9382536276803,
204,random,1343,24,25,[143.56320631279337],143.56320631279337,172.9382536276803,
205,random,1343,25,26,[133.96956615053998],133.96956615053998,172.9382536276803,
206,random,1343,26,27,[172.10145777143768],172.10145777143768,172.9382536276803,
207,random,1343,27,28,[122.9576937349564],122.9576937349564,172.9382536276803,
208,random,1343,28,29,[153.7627062240318],153.7627062240318,172.9382536276803,
209,random,1343,29,30,[162.45242842752012],162.45242842752012,172.9382536276803,
210,random,1344,0,1,[124.33296115997209],124.33296115997209,124.33296115997209,
211,random,1344,1,2,[146.76694916719543],146.76694916719543,146.76694916719543,
212,random,1344,2,3,[155.4607999734539],155.4607999734539,155.4607999734539,
213,random,1344,3,4,[156.19085691648428],156.19085691648428,156.19085691648428,
214,random,1344,4,5,[135.00685581032218],135.00685581032218,156.19085691648428,
215,random,1344,5,6,[141.23533652070077],141.23533652070077,156.19085691648428,
216,random,1344,6,7,[162.45242842752012],162.45242842752012,162.45242842752012,
217,random,1344,7,8,[144.96028373864337],144.96028373864337,162.45242842752012,
218,random,1344,8,9,[142.20137342601748],142.20137342601748,162.45242842752012,
219,random,1344,9,10,[117.69744918762859],117.69744918762859,162.45242842752012,
220,random,1344,10,11,[140.94417997843445],140.94417997843445,162.45242842752012,
221,random,1344,11,12,[124.28508028761419],124.28508028761419,162.45242842752012,
222,random,1344,12,13,[143.75696615970708],143.75696615970708,162.45242842752012,
223,random,1344,13,14,[122.3984434787847],122.3984434787847,162.45242842752012,
224,random,1344,14,15,[139.78164266941704],139.78164266941704,162.45242842752012,
225,random,1344,15,16,[120.2816580285045],120.2816580285045,162.45242842752012,
226,random,1344,16,17,[119.10061804970184],119.10061804970184,162.45242842752012,
227,random,1344,17,18,[158.10035989792027],158.10035989792027,162.45242842752012,
