,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data,trial_index,arm_name,trial_status,generation_method,Objective,B,Sc,Cr,Y,Zr,Gd,Hf,Ta,W,Re,Function
0,random_bb,0,0.0,1,[139.77718748970685],139.77718748970685,139.77718748970685,,,,,,,,,,,,,,,,,
1,random_bb,0,1.0,2,[141.23533652070077],141.23533652070077,141.23533652070077,,,,,,,,,,,,,,,,,
2,random_bb,0,2.0,3,[135.00266042722274],135.00266042722274,141.23533652070077,,,,,,,,,,,,,,,,,
3,random_bb,0,3.0,4,[120.14447039437856],120.14447039437856,141.23533652070077,,,,,,,,,,,,,,,,,
4,random_bb,0,4.0,5,[137.90638877821684],137.90638877821684,141.23533652070077,,,,,,,,,,,,,,,,,
5,random_bb,0,5.0,6,[106.22927448999997],106.22927448999997,141.23533652070077,,,,,,,,,,,,,,,,,
6,random_bb,0,6.0,7,[117.69744918762859],117.69744918762859,141.23533652070077,,,,,,,,,,,,,,,,,
7,random_bb,0,7.0,8,[144.37198284311458],144.37198284311458,144.37198284311458,,,,,,,,,,,,,,,,,
8,random_bb,0,8.0,9,[125.78672619143359],125.78672619143359,144.37198284311458,,,,,,,,,,,,,,,,,
9,random_bb,0,9.0,10,[147.0022769034152],147.0022769034152,147.0022769034152,,,,,,,,,,,,,,,,,
10,random_bb,0,10.0,11,[148.72605678839184],148.72605678839184,148.72605678839184,,,,,,,,,,,,,,,,,
11,random_bb,0,11.0,12,[123.8089980191226],123.8089980191226,148.72605678839184,,,,,,,,,,,,,,,,,
12,random_bb,0,12.0,13,[122.0447716941213],122.0447716941213,148.72605678839184,,,,,,,,,,,,,,,,,
13,random_bb,0,13.0,14,[157.3709982220219],157.3709982220219,157.3709982220219,,,,,,,,,,,,,,,,,
14,random_bb,0,14.0,15,[121.92929330241844],121.92929330241844,157.3709982220219,,,,,,,,,,,,,,,,,
15,random_bb,0,15.0,16,[139.34604170468722],139.34604170468722,157.3709982220219,,,,,,,,,,,,,,,,,
16,random_bb,0,16.0,17,[121.70683253959652],121.70683253959652,157.3709982220219,,,,,,,,,,,,,,,,,
17,random_bb,0,17.0,18,[135.58222778383404],135.58222778383404,157.3709982220219,,,,,,,,,,,,,,,,,
18,random_bb,0,18.0,19,[155.4607999734539],155.4607999734539,157.3709982220219,,,,,,,,,,,,,,,,,
19,random_bb,0,19.0,20,[153.81739983748278],153.81739983748278,157.3709982220219,,,,,,,,,,,,,,,,,
20,random_bb,1,0.0,1,[135.00266042722274],135.00266042722274,135.00266042722274,,,,,,,,,,,,,,,,,
21,random_bb,1,1.0,2,[163.68216005041552],163.68216005041552,163.68216005041552,,,,,,,,,,,,,,,,,
22,random_bb,1,2.0,3,[121.92929330241844],121.92929330241844,163.68216005041552,,,,,,,,,,,,,,,,,
23,random_bb,1,3.0,4,[148.9973261341777],148.9973261341777,163.68216005041552,,,,,,,,,,,,,,,,,
24,random_bb,1,4.0,5,[145.51819311471445],145.51819311471445,163.68216005041552,,,,,,,,,,,,,,,,,
25,random_bb,1,5.0,6,[133.96956615054],133.96956615054,163.68216005041552,,,,,,,,,,,,,,,,,
26,random_bb,1,6.0,7,[123.14024426243438],123.14024426243438,163.68216005041552,,,,,,,,,,,,,,,,,
27,random_bb,1,7.0,8,[119.10061804970184],119.10061804970184,163.68216005041552,,,,,,,,,,,,,,,,,
28,random_bb,1,8.0,9,[127.23817967487085],127.23817967487085,163.68216005041552,,,,,,,,,,,,,,,,,
29,random_bb,1,9.0,10,[137.6825662628294],137.6825662628294,163.68216005041552,,,,,,,,,,,,,,,,,
30,random_bb,1,10.0,11,[113.43623595623639],113.43623595623639,163.68216005041552,,,,,,,,,,,,,,,,,
31,random_bb,1,11.0,12,[143.1990010858288],143.1990010858288,163.68216005041552,,,,,,,,,,,,,,,,,
32,random_bb,1,12.0,13,[117.69744918762859],117.69744918762859,163.68216005041552,,,,,,,,,,,,,,,,,
33,random_bb,1,13.0,14,[152.22068911320298],152.22068911320298,163.68216005041552,,,,,,,,,,,,,,,,,
34,random_bb,1,14.0,15,[153.76270622403183],153.76270622403183,163.68216005041552,,,,,,,,,,,,,,,,,
35,random_bb,1,15.0,16,[120.14447039437856],120.14447039437856,163.68216005041552,,,,,,,,,,,,,,,,,
36,random_bb,1,16.0,17,[139.78164266941704],139.78164266941704,163.68216005041552,,,,,,,,,,,,,,,,,
37,random_bb,1,17.0,18,[109.58044587207594],109.58044587207594,163.68216005041552,,,,,,,,,,,,,,,,,
38,random_bb,1,18.0,19,[106.22927448999997],106.22927448999997,163.68216005041552,,,,,,,,,,,,,,,,,
39,random_bb,1,19.0,20,[147.0022769034152],147.0022769034152,163.68216005041552,,,,,,,,,,,,,,,,,
40,random_bb,2,0.0,1,[142.37274889861231],142.37274889861231,142.37274889861231,,,,,,,,,,,,,,,,,
41,random_bb,2,1.0,2,[139.34604170468722],139.34604170468722,142.37274889861231,,,,,,,,,,,,,,,,,
42,random_bb,2,2.0,3,[134.92790723134476],134.92790723134476,142.37274889861231,,,,,,,,,,,,,,,,,
43,random_bb,2,3.0,4,[157.3709982220219],157.3709982220219,157.3709982220219,,,,,,,,,,,,,,,,,
44,random_bb,2,4.0,5,[162.45475186999536],162.45475186999536,162.45475186999536,,,,,,,,,,,,,,,,,
45,random_bb,2,5.0,6,[144.37198284311458],144.37198284311458,162.45475186999536,,,,,,,,,,,,,,,,,
46,random_bb,2,6.0,7,[141.99720450911195],141.99720450911195,162.45475186999536,,,,,,,,,,,,,,,,,
47,random_bb,2,7.0,8,[106.22927448999997],106.22927448999997,162.45475186999536,,,,,,,,,,,,,,,,,
48,random_bb,2,8.0,9,[139.77718748970685],139.77718748970685,162.45475186999536,,,,,,,,,,,,,,,,,
49,random_bb,2,9.0,10,[172.9382536276803],172.9382536276803,172.9382536276803,,,,,,,,,,,,,,,,,
50,random_bb,2,10.0,11,[138.6573753120435],138.6573753120435,172.9382536276803,,,,,,,,,,,,,,,,,
51,random_bb,2,11.0,12,[145.3396217994108],145.3396217994108,172.9382536276803,,,,,,,,,,,,,,,,,
52,random_bb,2,12.0,13,[121.70683253959652],121.70683253959652,172.9382536276803,,,,,,,,,,,,,,,,,
53,random_bb,2,13.0,14,[142.00747890081215],142.00747890081215,172.9382536276803,,,,,,,,,,,,,,,,,
54,random_bb,2,14.0,15,[134.14889825638772],134.14889825638772,172.9382536276803,,,,,,,,,,,,,,,,,
55,random_bb,2,15.0,16,[156.19085691648428],156.19085691648428,172.9382536276803,,,,,,,,,,,,,,,,,
56,random_bb,2,16.0,17,[151.04621599946466],151.04621599946466,172.9382536276803,,,,,,,,,,,,,,,,,
57,random_bb,2,17.0,18,[148.9973261341777],148.9973261341777,172.9382536276803,,,,,,,,,,,,,,,,,
