,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
0,random,0,0,1,[113.43623595623639],113.43623595623639,113.43623595623639,
1,random,0,1,2,[142.7204626430639],142.7204626430639,142.7204626430639,
2,random,0,2,3,[139.8889943859047],139.8889943859047,142.7204626430639,
3,random,0,3,4,[166.22193370353094],166.22193370353094,166.22193370353094,
4,random,0,4,5,[157.3709982220219],157.3709982220219,166.22193370353094,
5,random,0,5,6,[143.50927187424523],143.50927187424523,166.22193370353094,
6,random,0,6,7,[140.38367430411716],140.38367430411716,166.22193370353094,
7,random,0,7,8,[119.5667350783483],119.5667350783483,166.22193370353094,
8,random,0,8,9,[106.22927448999997],106.22927448999997,166.22193370353094,
9,random,0,9,10,[134.92790723134476],134.92790723134476,166.22193370353094,
10,random,0,10,11,[148.72605678839184],148.72605678839184,166.22193370353094,
11,random,0,11,12,[172.9382536276803],172.9382536276803,172.9382536276803,
12,random,0,12,13,[152.22068911320298],152.22068911320298,172.9382536276803,
13,random,0,13,14,[138.79238862868013],138.79238862868013,172.9382536276803,
14,random,0,14,15,[143.1990010858288],143.1990010858288,172.9382536276803,
15,random,0,15,16,[140.94417997843442],140.94417997843442,172.9382536276803,
16,random,0,16,17,[156.29592045921626],156.29592045921626,172.9382536276803,
17,random,0,17,18,[141.5965383612692],141.5965383612692,172.9382536276803,
18,random,0,18,19,[127.23817967487085],127.23817967487085,172.9382536276803,
19,random,0,19,20,[125.55785596126495],125.55785596126495,172.9382536276803,
20,random,0,20,21,[135.00266042722274],135.00266042722274,172.9382536276803,
21,random,0,21,22,[158.1333799161532],158.1333799161532,172.9382536276803,
22,random,0,22,23,[115.70130494335822],115.70130494335822,172.9382536276803,
23,random,0,23,24,[121.70683253959652],121.70683253959652,172.9382536276803,
24,random,0,24,25,[109.58044587207594],109.58044587207594,172.9382536276803,
25,random,0,25,26,[142.37274889861231],142.37274889861231,172.9382536276803,
26,random,0,26,27,[149.57831360708985],149.57831360708985,172.9382536276803,
27,random,0,27,28,[148.9973261341777],148.9973261341777,172.9382536276803,
28,random,0,28,29,[162.45242842752012],162.45242842752012,172.9382536276803,
29,random,0,29,30,[120.2816580285045],120.2816580285045,172.9382536276803,
30,random,1,0,1,[149.34474941658686],149.34474941658686,149.34474941658686,
31,random,1,1,2,[122.9576937349564],122.9576937349564,149.34474941658686,
32,random,1,2,3,[163.68216005041552],163.68216005041552,163.68216005041552,
33,random,1,3,4,[138.79238862868013],138.79238862868013,163.68216005041552,
34,random,1,4,5,[143.50927187424523],143.50927187424523,163.68216005041552,
35,random,1,5,6,[148.72605678839184],148.72605678839184,163.68216005041552,
36,random,1,6,7,[157.3709982220219],157.3709982220219,163.68216005041552,
37,random,1,7,8,[125.78672619143359],125.78672619143359,163.68216005041552,
38,random,1,8,9,[133.96956615054],133.96956615054,163.68216005041552,
39,random,1,9,10,[121.70683253959652],121.70683253959652,163.68216005041552,
40,random,1,10,11,[139.34604170468722],139.34604170468722,163.68216005041552,
41,random,1,11,12,[146.14990683524644],146.14990683524644,163.68216005041552,
42,random,1,12,13,[117.25187832749276],117.25187832749276,163.68216005041552,
43,random,1,13,14,[113.78737139047261],113.78737139047261,163.68216005041552,
