,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
0,random,0,0,1,[158.10035989792027],158.10035989792027,158.10035989792027,
1,random,0,1,2,[148.38798148885505],148.38798148885505,158.10035989792027,
2,random,0,2,3,[143.75696615970708],143.75696615970708,158.10035989792027,
3,random,0,3,4,[134.92790723134476],134.92790723134476,158.10035989792027,
4,random,0,4,5,[133.96956615054],133.96956615054,158.10035989792027,
5,random,0,5,6,[139.78164266941704],139.78164266941704,158.10035989792027,
6,random,0,6,7,[172.10145777143768],172.10145777143768,172.10145777143768,
7,random,0,7,8,[145.51819311471445],145.51819311471445,172.10145777143768,
8,random,0,8,9,[146.13669614786681],146.13669614786681,172.10145777143768,
9,random,0,9,10,[134.14889825638772],134.14889825638772,172.10145777143768,
10,random,0,10,11,[147.0022769034152],147.0022769034152,172.10145777143768,
11,random,0,11,12,[122.0447716941213],122.0447716941213,172.10145777143768,
12,random,0,12,13,[139.8889943859047],139.8889943859047,172.10145777143768,
13,random,0,13,14,[113.78737139047261],113.78737139047261,172.10145777143768,
14,random,0,14,15,[135.00266042722274],135.00266042722274,172.10145777143768,
15,random,0,15,16,[142.37274889861231],142.37274889861231,172.10145777143768,
16,random,0,16,17,[143.1990010858288],143.1990010858288,172.10145777143768,
17,random,0,17,18,[139.77718748970685],139.77718748970685,172.10145777143768,
18,random,0,18,19,[164.58001172560898],164.58001172560898,172.10145777143768,
19,random,0,19,20,[164.95783085754786],164.95783085754786,172.10145777143768,
20,random,1,0,1,[145.3396217994108],145.3396217994108,145.3396217994108,
21,random,1,1,2,[139.34604170468722],139.34604170468722,145.3396217994108,
22,random,1,2,3,[113.33471735678211],113.33471735678211,145.3396217994108,
23,random,1,3,4,[148.9973261341777],148.9973261341777,148.9973261341777,
24,random,1,4,5,[150.79684372186182],150.79684372186182,150.79684372186182,
25,random,1,5,6,[109.58044587207594],109.58044587207594,150.79684372186182,
26,random,1,6,7,[163.68216005041552],163.68216005041552,163.68216005041552,
27,random,1,7,8,[172.9382536276803],172.9382536276803,172.9382536276803,
28,random,1,8,9,[142.20137342601748],142.20137342601748,172.9382536276803,
